item_A_id,item_A_name,cat_A,item_B_id,item_B_name,cat_B,affinity_score,source
105,Yellow Onion,Fresh Produce,501,Spaghetti Pasta,Pantry Staples,0.144,embed
105,Yellow Onion,Fresh Produce,502,Marinara Sauce,Pantry Staples,0.1216,embed
105,Yellow Onion,Fresh Produce,303,Atlantic Salmon Fillet,Meat & Seafood,0.1172,embed
105,Yellow Onion,Fresh Produce,603,Mild Salsa,Snacks,0.1111,embed
105,Yellow Onion,Fresh Produce,106,Garlic (Head),Fresh Produce,0.1097,embed
103,Hass Avocado,Fresh Produce,403,Flour Tortillas (10 count),Bakery,0.2563,embed
103,Hass Avocado,Fresh Produce,603,Mild Salsa,Snacks,0.244,embed
103,Hass Avocado,Fresh Produce,202,Sharp Cheddar Cheese (Block),Dairy & Eggs,0.2241,embed
103,Hass Avocado,Fresh Produce,302,85% Lean Ground Beef,Meat & Seafood,0.1978,embed
103,Hass Avocado,Fresh Produce,604,Tortilla Chips,Snacks,0.1764,embed
101,Organic Banana,Fresh Produce,703,Pulp-Free Orange Juice,Beverages,0.3273,embed
101,Organic Banana,Fresh Produce,304,Classic Cut Bacon,Meat & Seafood,0.3268,embed
101,Organic Banana,Fresh Produce,503,Extra Virgin Olive Oil,Pantry Staples,0.1753,embed
101,Organic Banana,Fresh Produce,204,Grade A Large Eggs (Dozen),Dairy & Eggs,0.159,embed
101,Organic Banana,Fresh Produce,205,Unsalted Butter,Dairy & Eggs,0.1389,embed
303,Atlantic Salmon Fillet,Meat & Seafood,201,Whole Milk (Gallon),Dairy & Eggs,0.1354,embed
303,Atlantic Salmon Fillet,Meat & Seafood,202,Sharp Cheddar Cheese (Block),Dairy & Eggs,0.1246,embed
303,Atlantic Salmon Fillet,Meat & Seafood,204,Grade A Large Eggs (Dozen),Dairy & Eggs,0.1225,embed
303,Atlantic Salmon Fillet,Meat & Seafood,602,Dark Chocolate Bar,Snacks,0.1176,embed
303,Atlantic Salmon Fillet,Meat & Seafood,105,Yellow Onion,Fresh Produce,0.1172,embed
704,Cabernet Sauvignon,Beverages,502,Marinara Sauce,Pantry Staples,0.1346,embed
704,Cabernet Sauvignon,Beverages,106,Garlic (Head),Fresh Produce,0.127,embed
704,Cabernet Sauvignon,Beverages,702,Spring Water (24-pack),Beverages,0.1187,embed
704,Cabernet Sauvignon,Beverages,603,Mild Salsa,Snacks,0.1164,embed
704,Cabernet Sauvignon,Beverages,501,Spaghetti Pasta,Pantry Staples,0.1147,embed
801,Paper Towels (6 rolls),Household,703,Pulp-Free Orange Juice,Beverages,0.341,embed
801,Paper Towels (6 rolls),Household,304,Classic Cut Bacon,Meat & Seafood,0.3073,embed
801,Paper Towels (6 rolls),Household,503,Extra Virgin Olive Oil,Pantry Staples,0.1716,embed
801,Paper Towels (6 rolls),Household,103,Hass Avocado,Fresh Produce,0.1703,embed
801,Paper Towels (6 rolls),Household,505,Cane Sugar,Pantry Staples,0.1536,embed
201,Whole Milk (Gallon),Dairy & Eggs,701,Cola (12-pack),Beverages,0.1749,embed
201,Whole Milk (Gallon),Dairy & Eggs,601,Kettle-Cooked Potato Chips,Snacks,0.1649,embed
201,Whole Milk (Gallon),Dairy & Eggs,506,Basmati Rice,Pantry Staples,0.162,embed
201,Whole Milk (Gallon),Dairy & Eggs,402,Sourdough Baguette,Bakery,0.1569,embed
201,Whole Milk (Gallon),Dairy & Eggs,702,Spring Water (24-pack),Beverages,0.1538,embed
204,Grade A Large Eggs (Dozen),Dairy & Eggs,101,Organic Banana,Fresh Produce,0.159,embed
204,Grade A Large Eggs (Dozen),Dairy & Eggs,801,Paper Towels (6 rolls),Household,0.1529,embed
204,Grade A Large Eggs (Dozen),Dairy & Eggs,701,Cola (12-pack),Beverages,0.1484,embed
204,Grade A Large Eggs (Dozen),Dairy & Eggs,102,Granny Smith Apple,Fresh Produce,0.1366,embed
204,Grade A Large Eggs (Dozen),Dairy & Eggs,601,Kettle-Cooked Potato Chips,Snacks,0.1336,embed
109,Russet Potato,Fresh Produce,304,Classic Cut Bacon,Meat & Seafood,0.33,embed
109,Russet Potato,Fresh Produce,703,Pulp-Free Orange Juice,Beverages,0.3056,embed
109,Russet Potato,Fresh Produce,103,Hass Avocado,Fresh Produce,0.1718,embed
109,Russet Potato,Fresh Produce,505,Cane Sugar,Pantry Staples,0.147,embed
109,Russet Potato,Fresh Produce,205,Unsalted Butter,Dairy & Eggs,0.1378,embed
